N=1024;N=512;N=256;N=128;N=64;N=32;N=16;N=8
0;0;0;0;0;;0;0
1;1;1;1;1;;1;1
2;2;2;2;2;;2;2
4;4;4;4;4;;4;4
8;8;8;8;8;;8;3
16;16;16;16;16;;3;5
32;32;32;32;32;;5;6
3;3;3;3;3;;9;7
5;5;5;5;5;;6;
6;6;6;6;6;;10;
64;64;64;64;9;;7;
9;9;9;9;10;;12;
10;10;10;10;17;;11;
128;128;128;17;12;;13;
17;17;17;12;18;;14;
12;12;12;18;33;;15;
18;18;18;33;20;;;
512;33;33;20;34;;;
33;20;20;34;24;;;
20;34;34;65;36;;;
34;256;65;24;7;;;
256;65;24;36;40;;;
65;24;36;7;11;;;
24;36;7;40;13;;;
36;7;40;11;19;;;
7;40;11;66;48;;;
40;11;66;13;14;;;
11;66;13;19;21;;;
66;13;129;68;35;;;
13;129;19;48;22;;;
129;19;68;14;25;;;
19;68;130;21;37;;;
68;130;48;72;26;;;
130;48;14;35;38;;;
48;14;21;22;41;;;
14;21;132;25;28;;;
21;132;72;37;42;;;
132;72;35;80;49;;;
72;257;22;26;15;;;
257;35;25;38;44;;;
35;22;136;67;50;;;
22;25;37;41;23;;;
25;136;80;96;52;;;
136;37;26;28;27;;;
37;80;38;69;39;;;
80;258;67;42;56;;;
258;26;144;49;29;;;
513;38;41;15;43;;;
26;67;96;70;30;;;
38;144;28;44;45;;;
67;41;69;73;51;;;
144;96;42;50;46;;;
41;260;160;23;53;;;
96;28;49;74;54;;;
260;69;15;52;57;;;
514;42;131;81;58;;;
28;160;70;76;31;;;
69;49;44;27;60;;;
42;15;73;39;47;;;
160;131;50;82;55;;;
49;70;192;56;59;;;
516;264;23;97;61;;;
15;44;74;29;62;;;
131;73;52;84;63;;;
70;50;133;43;;;;
264;192;81;30;;;;
44;23;76;98;;;;
73;74;27;71;;;;
50;52;134;45;;;;
192;133;39;88;;;;
23;81;82;51;;;;
520;272;137;100;;;;
74;76;56;46;;;;
52;27;97;75;;;;
133;134;138;53;;;;
81;288;29;104;;;;
272;39;84;77;;;;
76;82;145;54;;;;
27;137;43;83;;;;
528;56;30;57;;;;
134;97;140;112;;;;
288;259;98;78;;;;
39;138;71;85;;;;
82;29;146;58;;;;
137;84;45;86;;;;
56;145;88;31;;;;
97;43;51;60;;;;
259;30;161;99;;;;
544;140;100;89;;;;
138;261;148;101;;;;
29;98;46;90;;;;
84;320;75;102;;;;
145;265;53;105;;;;
43;71;162;47;;;;
30;146;104;92;;;;
140;45;152;106;;;;
261;88;77;55;;;;
98;51;135;113;;;;
320;161;164;79;;;;
265;100;193;108;;;;
71;262;54;59;;;;
576;148;83;114;;;;
146;46;57;87;;;;
45;273;112;61;;;;
88;75;78;116;;;;
